Store,Dept,mape,mape_naive,beats_naive,status,avg_sales,std_sales,cv,sales_quartile
22,35,18.44738734114754,17.626960898238377,False,OK,4243.829300699302,1229.4084046766754,0.28969317980675907,Q2
22,30,30.41482366861572,12.155456284474663,False,OK,4983.480979020978,1146.5644047856922,0.23007299709026655,Q2
22,40,3.31858547587311,5.62270010005614,True,OK,54340.60573426574,3296.362304551107,0.06066112550660268,Q4_lớn_nhất
22,29,9.18514866329086,7.166102066170097,False,OK,7864.640279720282,1760.4985287839988,0.22384984769406563,Q2
22,94,370.37315118708585,2284.69922745444,True,OK,857.1908943089433,1224.2029396318617,1.4281567242017883,Q1_nhỏ_nhất
22,72,16.18184019951949,16.41186539373268,True,OK,66645.66902097904,43296.44677937425,0.6496513189138395,Q4_lớn_nhất
22,71,14.437960978853804,18.039050409865894,True,OK,5264.149580419579,1286.052894075662,0.24430401804295937,Q2
23,10,6.00704851016709,2.272848327481014,False,OK,31155.17055944055,4800.477939152645,0.15408286499327215,Q4_lớn_nhất
23,1,14.81323494389013,7.506286022069783,False,OK,33186.46055944056,19118.753525377433,0.5761010123732137,Q4_lớn_nhất
23,6,31.89717726781617,34.207980221231594,True,OK,7393.49965034965,5002.339202032034,0.6765861146413209,Q2
23,12,33.48344650527613,18.19283242730208,False,OK,5611.221608391609,1684.6208233453608,0.30022354148800723,Q2
23,16,20.67175239484397,17.40856729193245,False,OK,23404.868601398593,22993.068112077646,0.9824053492316407,Q4_lớn_nhất
23,18,73.2742890816083,78.09737399334647,True,OK,11716.354180327866,19484.721772663885,1.663036254518437,Q3
23,17,5.389614154609882,6.791393745655505,True,OK,27120.621608391608,5904.381317024473,0.21770818539046874,Q4_lớn_nhất
23,23,10.18506428347344,9.658624627894968,False,OK,47301.983986013984,13701.747940116788,0.28966539636409444,Q4_lớn_nhất
23,27,21.74485117459468,15.195929640504858,False,OK,3260.970139860142,1240.4458726688188,0.38039166857321166,Q2
23,31,33.43018517778188,18.977832514078106,False,OK,4749.540629370626,1801.7951984497697,0.37936199288572675,Q2
23,33,18.638670151618093,10.42333808060565,False,OK,11289.378881118872,3998.4017208742666,0.3541737559682284,Q3
23,32,8.451153488334132,10.442037945103856,True,OK,11303.890489510492,4485.260872097257,0.3967891299247263,Q3
23,36,35.47598059864842,43.91292303905767,True,OK,3722.6211188811185,2145.278269588296,0.5762816577565345,Q2
23,38,9.042488835905466,5.872744928236824,False,OK,43869.1567132867,5046.766394690065,0.11504133593617825,Q4_lớn_nhất
23,45,164.1900472841396,70.17398789804733,False,OK,40.033130434782606,26.10101289844788,0.6519853085425998,Q1_nhỏ_nhất
23,56,29.247621528843084,24.693862713175758,False,OK,8809.958391608387,10402.956357443769,1.1808178762061732,Q3
23,55,9.338471274332036,16.93216085873277,True,OK,15810.811258741263,11833.252226753946,0.7484278974117625,Q3
23,82,5.704421788047817,13.960440968387488,True,OK,22905.974755244744,10526.615680737654,0.45955763914073955,Q4_lớn_nhất
23,92,3.714390207321579,10.497513097546868,True,OK,59604.57461538463,12767.151554857084,0.21419751147023094,Q4_lớn_nhất
23,80,13.903584517044363,15.20143502945202,True,OK,970.6767424242423,733.8956577399899,0.7560659750712712,Q1_nhỏ_nhất
23,93,32.32376335541786,13.315713696705188,False,OK,2111.610780141844,861.8678527419977,0.40815658872706795,Q1_nhỏ_nhất
23,97,5.74087221529335,8.988325288872696,True,OK,6149.684755244756,1787.792839458612,0.29071292442005153,Q2
23,98,87.82862404898184,50.27333974000496,False,OK,100.58508333333333,119.62114332092284,1.1892533102995508,Q1_nhỏ_nhất
24,11,15.645818541542376,17.85222185406434,True,OK,17088.586573426575,9418.371837833238,0.551149844802213,Q3
24,3,39.39570901371309,13.197977378680315,False,OK,11825.589020979018,7220.414693794131,0.6105754800868572,Q3
24,19,37.1210562635988,58.874607766138176,True,OK,82.64090909090909,39.81343231661528,0.48176421042051376,Q1_nhỏ_nhất
24,35,22.573128888269554,19.11635189953916,False,OK,3081.7272727272716,958.1100435144988,0.3109003356635739,Q2
24,29,13.471724779334751,7.451607271468198,False,OK,5705.8717482517495,1891.2452831321114,0.3314559749282096,Q2
24,30,20.161895506852744,24.87460945584104,True,OK,4308.367342657342,1170.8960905666033,0.2717725758835621,Q2
24,40,6.028190938312282,4.98273183530345,False,OK,45267.23832167832,2824.378088945262,0.06239342609934914,Q4_lớn_nhất
24,71,28.27861964899833,31.095929053502505,True,OK,5011.2974825174815,1489.2832945463215,0.29718517005663037,Q2
24,72,12.631942470103375,13.91285485854718,True,OK,58377.364545454555,26590.838673458613,0.4554991284807676,Q4_lớn_nhất
24,50,23.03796622571161,40.76838253421524,True,OK,1277.1853146853148,402.8465251320804,0.3154174421676134,Q1_nhỏ_nhất
24,94,3.1829283897095664,4.951985733689778,True,OK,51850.045104895114,7690.820833089553,0.14832814161551172,Q4_lớn_nhất
25,1,20.9168373073155,7.919961682945517,False,OK,20145.89748251748,10184.125243490513,0.5055185678537405,Q3
25,6,24.7810229591278,35.35976480217571,True,OK,3760.0450349650337,3559.7642611827814,0.9467344747417061,Q2
25,10,9.664077793430698,9.70213520221344,True,OK,20202.701468531468,3959.274045174911,0.1959774563486984,Q3
25,12,8.887110646141341,12.727020874628082,True,OK,3191.893706293705,771.8110001174925,0.24180347816584644,Q2
25,16,22.715754170910003,9.059714780380173,False,OK,16102.888601398603,13936.18695133611,0.8654463988607419,Q3
25,18,26.69359052313547,32.51237704849061,True,OK,6647.172959999998,12269.375051549048,1.8458034905035858,Q2
25,17,7.145553150001384,9.323539841804353,True,OK,10380.81188811189,2533.7030456545385,0.24407561498692953,Q3
25,23,8.916050175739814,8.489272283432111,False,OK,16186.003986013988,5153.0598089726755,0.3183651637195527,Q3
25,27,19.205843332014997,10.892592866102785,False,OK,1207.2980419580433,544.4530566945383,0.45096822638055717,Q1_nhỏ_nhất
25,31,21.7008080298983,29.075028934844976,True,OK,1655.9171328671325,629.0289907766546,0.37986743315320637,Q1_nhỏ_nhất
25,32,11.392910893147418,12.882002617596813,True,OK,3963.2409090909073,1870.7808101378832,0.4720330792525567,Q2
25,36,44.130269164465005,46.36696723703055,True,OK,1319.5865034965034,812.7954985460382,0.6159471140333559,Q1_nhỏ_nhất
25,33,13.525456292182254,25.09456009971985,True,OK,2926.2163636363634,827.6950082536997,0.2828550269007231,Q2
25,38,13.53211063123586,14.661371209535549,True,OK,44627.650279720285,5053.068094369789,0.1132272943499785,Q4_lớn_nhất
25,56,37.88246353974532,32.466325832623646,False,OK,4359.542517482517,5269.064437364098,1.2086278356580402,Q2
25,55,21.60725471155482,31.38309781645142,True,OK,7071.0072727272745,6165.755241906381,0.8719769339917905,Q2
25,80,11.252041171966868,12.12863861306714,True,OK,328.2420143884893,260.1337994108278,0.792506102229033,Q1_nhỏ_nhất
25,92,2.3113941127506497,10.198458884954595,True,OK,38854.46069930068,4842.766065051418,0.124638612346988,Q4_lớn_nhất
25,93,21.498783766592105,18.546488556007183,False,OK,777.7474825174825,223.0707583139136,0.2868164324902194,Q1_nhỏ_nhất
25,82,8.72322945574461,7.380972523401283,False,OK,10742.568601398607,3840.35053527112,0.3574890398904349,Q3
25,97,4.611663451218701,9.62693377483253,True,OK,2706.6282517482523,273.7415044519158,0.10113745922629086,Q1_nhỏ_nhất
25,98,20.47976875039191,31.795438685653533,True,OK,665.9197794117647,657.2320469480368,0.9869537852271002,Q1_nhỏ_nhất
26,11,9.774663656888997,10.486273237575247,True,OK,12809.28461538462,4981.745961825902,0.388916798354419,Q3
26,3,57.93574885784095,7.623847681795687,False,OK,7357.400769230766,3617.2945434330904,0.49165386756704943,Q2
