Store,Dept,mape,mape_naive,beats_naive,status
22,35,18.44738734114754,17.626960898238377,False,OK
22,30,30.41482366861572,12.155456284474663,False,OK
22,40,3.31858547587311,5.62270010005614,True,OK
22,29,9.18514866329086,7.166102066170097,False,OK
22,94,370.37315118708585,2284.6992274544396,True,OK
22,72,16.18184019951949,16.41186539373268,True,OK
22,71,14.437960978853805,18.039050409865894,True,OK
23,10,6.00704851016709,2.272848327481014,False,OK
23,1,14.81323494389013,7.506286022069783,False,OK
23,6,31.89717726781617,34.207980221231594,True,OK
23,12,33.48344650527613,18.19283242730208,False,OK
23,16,20.671752394843974,17.40856729193245,False,OK
23,18,73.2742890816083,78.09737399334647,True,OK
23,17,5.389614154609882,6.791393745655505,True,OK
23,23,10.185064283473439,9.658624627894968,False,OK
23,27,21.744851174594682,15.195929640504858,False,OK
23,31,33.43018517778188,18.977832514078106,False,OK
23,33,18.638670151618093,10.42333808060565,False,OK
23,32,8.451153488334132,10.442037945103856,True,OK
23,36,35.47598059864842,43.91292303905767,True,OK
23,38,9.042488835905466,5.872744928236824,False,OK
23,45,164.1900472841396,70.17398789804733,False,OK
23,56,29.247621528843084,24.693862713175754,False,OK
23,55,9.338471274332036,16.93216085873277,True,OK
23,82,5.704421788047817,13.960440968387488,True,OK
23,92,3.714390207321579,10.497513097546868,True,OK
23,80,13.903584517044365,15.201435029452021,True,OK
23,93,32.32376335541786,13.315713696705188,False,OK
23,97,5.74087221529335,8.988325288872696,True,OK
23,98,87.82862404898184,50.273339740004964,False,OK
24,11,15.645818541542377,17.85222185406434,True,OK
24,3,39.39570901371309,13.197977378680317,False,OK
24,19,37.1210562635988,58.874607766138176,True,OK
24,35,22.573128888269554,19.116351899539158,False,OK
24,29,13.471724779334751,7.451607271468198,False,OK
24,30,20.161895506852744,24.87460945584104,True,OK
24,40,6.028190938312282,4.98273183530345,False,OK
24,71,28.278619648998326,31.095929053502502,True,OK
24,72,12.631942470103375,13.91285485854718,True,OK
24,50,23.037966225711614,40.76838253421524,True,OK
24,94,3.1829283897095664,4.951985733689778,True,OK
25,1,20.9168373073155,7.919961682945517,False,OK
25,6,24.781022959127796,35.35976480217571,True,OK
25,10,9.664077793430698,9.70213520221344,True,OK
25,12,8.887110646141341,12.727020874628082,True,OK
25,16,22.715754170910003,9.059714780380173,False,OK
25,18,26.69359052313547,32.51237704849061,True,OK
25,17,7.145553150001384,9.323539841804353,True,OK
25,23,8.916050175739814,8.489272283432111,False,OK
25,27,19.205843332014993,10.892592866102783,False,OK
25,31,21.7008080298983,29.075028934844976,True,OK
25,32,11.392910893147418,12.882002617596811,True,OK
25,36,44.130269164465005,46.36696723703055,True,OK
25,33,13.525456292182254,25.09456009971985,True,OK
25,38,13.532110631235861,14.661371209535549,True,OK
25,56,37.88246353974532,32.466325832623646,False,OK
25,55,21.60725471155482,31.38309781645142,True,OK
25,80,11.252041171966868,12.12863861306714,True,OK
25,92,2.3113941127506497,10.198458884954595,True,OK
25,93,21.498783766592105,18.546488556007183,False,OK
25,82,8.72322945574461,7.380972523401283,False,OK
25,97,4.611663451218701,9.62693377483253,True,OK
25,98,20.47976875039191,31.795438685653533,True,OK
26,11,9.774663656888997,10.486273237575247,True,OK
26,3,57.93574885784095,7.623847681795687,False,OK
26,19,25.26275706747323,17.139063810674806,False,OK
26,29,14.257635069031355,19.064949776721114,True,OK
26,30,13.100344013961296,12.862470867712355,False,OK
26,35,18.890794213356717,15.556600632666884,False,OK
26,71,18.699179369472755,33.23231401345924,True,OK
26,40,3.631663255429281,4.357960983196304,True,OK
26,72,17.955909873011418,12.962357994911855,False,OK
26,94,3.35520603454311,7.574442443619186,True,OK
27,4,6.527422662279999,6.8496685570280995,True,OK
27,5,18.147668598493887,16.550655620932496,False,OK
27,7,10.915532673751649,9.323685751969064,False,OK
27,13,7.020513489890162,7.429539798127394,True,OK
27,21,23.94986422134704,16.27359100649965,False,OK
27,25,6.770853809002577,8.675363465190319,True,OK
27,34,6.699879003193934,13.914759075204925,True,OK
27,24,9.8611873623917,12.038367948981472,True,OK
27,41,17.67883323734544,23.689659153764197,True,OK
27,37,12.256271496717785,17.058938620404803,True,OK
27,42,16.06583362137987,12.644531629151768,False,OK
27,44,12.349450436832118,12.000166441694034,False,OK
27,46,11.424592364417105,4.700454802663634,False,OK
10,6,22.726798476972316,26.665088749921782,True,OK
10,10,8.082280055636733,4.862512735228688,False,OK
10,16,28.298746066189583,16.92607679075911,False,OK
10,12,4.550433491094553,7.209695289458395,True,OK
10,23,5.467235302275751,7.994678821882443,True,OK
10,17,4.603700423891209,2.682589089561905,False,OK
10,32,16.122809228813363,9.034298558997536,False,OK
10,27,12.284387367911204,10.719858499880313,False,OK
10,36,89.14528187439706,61.37402618090355,False,OK
10,31,11.09044453799886,6.818995949420197,False,OK
10,38,8.70123039260203,7.499920959342937,False,OK
10,33,17.194960259886816,14.94963824228116,False,OK
10,56,30.853690122837406,42.20898837843663,True,OK
10,55,14.132377788740747,21.034951803822928,True,OK
10,80,182.81856271771534,216.0100509132178,True,OK
10,93,14.119639166574895,17.611803010887755,True,OK
10,82,9.501095137371914,8.923095217286063,False,OK
10,92,6.2912372437506745,3.4371427520373423,False,OK
10,97,5.1638555314181485,5.92399092090866,True,OK
11,1,8.438018010657478,10.523673550220423,True,OK
10,98,101.15926746425954,147.14111095271826,True,OK
